country_code,country_name,year,gcf_const_2015_usd,gcf_curr_usd,gcf_pct_gdp,gdp_const_2015_usd,gdp_curr_usd,gdp_growth_annual_pct,gdp_pc_const_2015_usd,gdp_pc_curr_usd,gdp_pc_growth_annual_pct,gfcf_const_2015_usd,gfcf_curr_usd,gfcf_pct_gdp,population_total
CHN,China,1997,566248014494.034,345888214420.174,35.7413524462449,2237604266165.63,967753570434.667,9.29759460595947,1819.07954081306,786.743548510999,8.18469305732251,,302425252571.92,31.2502337176691,1230075000.0
CHN,China,1998,615497250943.217,362851218716.172,34.9859486932226,2414901854973.07,1037134141760.35,7.92354535108497,1944.46718626424,835.095348597432,6.8929171395732,,342979152690.471,33.0698931681417,1241935000.0
CHN,China,1999,654723889291.862,377885422643.675,34.2336141056633,2601845161729.03,1103843203575.64,7.74123827728161,2076.93180259914,881.146614068925,6.81238630667758,,360681303415.577,32.675048616256,1252735000.0
CHN,China,2000,702422855003.536,411581609430.883,33.6326827140045,2824916263542.96,1223754919971.05,8.57357328926101,2237.30047918692,969.199513696287,7.72142235903391,,399521459432.767,32.6471790154044,1262645000.0
CHN,China,2001,848567316440.794,481361274306.312,35.523858010134,3060063619716.51,1355036590251.52,8.32404695347056,2405.99411858042,1065.40597574519,7.54005288797013,,453393641323.232,33.4598817910203,1271850000.0
CHN,China,2002,959269098833.012,537360529962.884,36.0687816828708,3342692586001.97,1489821682050.54,9.23604870383861,2610.66275070444,1163.55957673426,8.50661398311242,,521256785555.368,34.9878641071948,1280400000.0
CHN,China,2003,1187961563724.01,663929616359.091,39.4280130265115,3680766226629.83,1683903309843.85,10.1138119025242,2856.85053293219,1306.97245408557,9.43008751939767,,641309202798.054,38.0846809344133,1288400000.0
CHN,China,2004,1416204775727.94,826107816292.792,41.6343741627493,4054011719388.36,1984196551300.44,10.1404291872206,3127.91444892337,1530.92726215723,9.48820783119425,,780791999227.721,39.3505370582361,1296075000.0
CHN,China,2005,1566526102252.92,931147769850.739,40.178086700104,4518338478814.27,2317551298052.05,11.4535130030645,3465.72767067642,1777.64496828464,10.7999508064974,,910110018931.413,39.2703289759488,1303720000.0
CHN,China,2006,1805728003092.64,1107937379082.9,39.6897003482818,5091050723394.27,2791498472804.33,12.6752842281595,3883.27464370816,2129.25696999613,12.0478875638328,,1075329111482.4,38.5215726233992,1311020000.0
CHN,China,2007,2120300566780.36,1449626501735.39,40.2220879226288,5811473655332.24,3604055822571.63,14.1507710506103,4409.69709445986,2734.72709877693,13.5561478146964,,1357683411650.45,37.6709873123357,1317885000.0
CHN,China,2008,2414499395419.8,1958452391146.2,41.9607249432501,6373372030110.07,4667346414521.95,9.66877608164454,4811.34486346262,3523.44302065213,9.10828477328671,,1811074229473.19,38.8030814219879,1324655000.0
CHN,China,2009,2919460955841.66,2331586892087.97,44.9282638913962,6972857785771.39,5189577094997.58,9.40610014336416,5237.78809982377,3898.24459158811,8.86328559816117,,2252783317543.54,43.4097668520056,1331260000.0
CHN,China,2010,3379942841685.89,2854917581561.38,46.1023443345586,7711401293675.62,6192564874453.29,10.5916903885704,5764.65012366375,4629.24551710077,10.0588648070302,,2695015515631.65,43.5201821905755,1337705000.0
